OBJECTID,NYCEM_ID,FACILITY_NAME,ADDRESS,BOROUGH,ZIP_CODE,PHONE,HANDICAP_ACCESS,EXTENDED_HOURS,STATUS,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,X,Y,FACILITY_TYPE,Entrance_info
157,CC114,Central Harlem Kennedy NSC,34 W 134 St,Manhattan,10037,(212) 926-4871,No,Hours may be extended during a heat emergency.,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,1000758.02471,235253.822193,Senior center,
158,CC599,Jackie Robinson NSC,1301 Amsterdam Ave.,Manhattan,10027,(212) 666-4910,No,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,996344.161167,235038.798673,Senior center,
159,CC610,Grant Community Center,1301 Amsterdam Avenue,Manhattan,10027,(917) 743-5157,Yes,Hours may be extended during a heat emergency.,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,996344.161167,235038.798673,Cornerstone Program,
160,CC038,Manhattanville Riverside NSC,530 W 133 St,Manhattan,10027,(212) 862-5562,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,996837.951518,237189.658216,Senior center,
161,CC040,Manhattanville,530 W 133 St,Manhattan,10027,(646) 439-0792 ext7801,Yes,Hours may be extended during a heat emergency.,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,996794.20349,237221.937155,Cornerstone Program,
162,CC039,Macomb's Bridge Library,2650 Adam C Powell Blvd,Manhattan,10039,(212) 281-4900,Yes,No,OPEN,11a-7p,11a-7p,11a-6p,11a-6p,10a-5p,10a-5p,,1001983.15982,240419.301023,Library,
164,CC050,Grand Coalition of Seniors NSC,80 Pitt St,Manhattan,10002,(646) 201-4251,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,989309.329436,200977.791664,Senior center,
165,CC252,Polo Grounds NSC,2965 8 Av,Manhattan,10039,(212) 283-5475,Yes,Hours may be extended during a heat emergency.,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,1001582.94301,242067.47392,Senior center,
166,CC470,Roosevelt Island Library,524 Main St,Manhattan,10044,(212) 308-6243,Yes,No,OPEN,10a-8p,10a-6p,10a-8p,10a-6p,10a-5p,10a-5p,,998050.714486,216635.190876,Library,
167,CC471,Roosevelt Island Senior Center,546 Main St,Manhattan,10044,(212) 980-1888,Yes,No,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,998222.297175,216845.672986,Senior center,
168,CC612,Drew Hamilton Community Center,220 West 143rd Street,Manhattan,10030,(646) 963-2696,Yes,Hours may be extended during a heat emergency.,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1000557.50018,238224.661396,Cornerstone Program,
170,CC509,Battery Park City Library,175 North End Av,Manhattan,10282,(212) 790-3499,Yes,No,OPEN,10a-6p,11a-7p,10a-6p,11a-7p,10a-5p,10a-5p,,979847.277142,199976.032056,Library,
172,CC002,"Science, Industry and Business Library",188 Madison Av,Manhattan,10016,(917) 275-6975,Yes,No,OPEN,10a-6p,10a-8p,10a-8p,10a-8p,10a-6p,10a-6p,,988942.694015,211838.348355,Library,
173,CC092,Times Square Corps Comm Center,315 W 47 St,Manhattan,10036,(212) 975-9988,Yes,No,OPEN,,9:30a-2:30p,9:30a-2:30p,9:30a-2:30p,9:30a-2:30p,,,987512.961603,216502.165412,Community center,
174,CC611,Polo Ground Community Center,3005 Frederick Douglass Blvd,Manhattan,10039,(646) 707-0145,Yes,Hours may be extended during a heat emergency.,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,,,1001717.55757,242375.401454,Cornerstone Program,
178,CC095,Mott Haven Library,321 E 140 St,Bronx,10454,(718) 665-4878,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1005171.0,234972.0,Library,
180,CC451,Melrose Library,910 Morris Av,Bronx,10451,(718) 588-0110,No,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1007054.0,240433.0,Library,
181,CC596,Concourse Plaza Wellness NSC,900 Grand Concourse,Bronx,10451,(718) 588-8200,No,No,OPEN,8:30a-7p,8:30a-7p,8:30a-7p,8:30a-7p,8:30a-7p,,,1005814.96637,240597.357438,Senior center,
182,CC775,Hope of Israel NSC,1068 Gerard Av,Bronx,10452,718-665-8400,Yes,No,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,1005858.0,242452.0,Senior center,
184,CC233,High Bridge Library,78 W 168 St,Bronx,10452,(718) 293-7800,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1005402.49107,244580.247615,Library,
185,CC349,PSS Highbridge NSC,1181 Nelson Av,Bronx,10452,(718) 588-3004,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1004709.00008,244349.999867,Senior center,
187,CC217,Morrisania Library,610 E 169 St,Bronx,10456,(718) 589-9268,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1011424.0,242135.0,Library,
190,CC331,PSS-Davidson NSC,950 Union Av,Bronx,10459,(718) 328-2811,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1011580.00012,239268.999858,Senior center,
191,CC018,Davidson,1221 Prospect Av,Bronx,10456,(718) 576-1930,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,10a-5p,,1012088.6341,240718.0101,Cornerstone Program,
192,CC315,Sebco Senior Programs NSC,887 Southern Blvd ,Bronx,10459,(718) 617-3465,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1013659.04484,237694.927875,Senior center,Basement
193,CC399,Hunts Point Library,877 Southern Blvd,Bronx,10459,(718) 617-0338,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1013534.0,237566.0,Library,
195,CC216,Bronxworks East Concourse NSC,236 E Tremont Av,Bronx,10457,(718) 731-6300,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1010646.00002,248483.000131,Senior center,
196,CC452,Grand Concourse Library,155 E 173 St,Bronx,10457,(718) 583-6611,Yes,No,OPEN,10a-8p,10a-7p,10a-8p,10a-7p,10a-5p,10a-5p,1p-5p,1009126.0,246785.0,Library,
199,CC520,Bronxworks Heights NSC,200 West Tremont Av,Bronx,10453,(718) 299-0300,Yes,Hours may be extended during a heat emergency.,OPEN,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,,,1007173.00007,249628.000137,Senior center,
200,CC024,Tremont Library,1866 Washington Av,Bronx,10457,(718) 299-5177,No,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1012374.0,247530.0,Library,
201,CC401,Arturo Schomburg NSC,1315 Fanklin Av,Bronx,10456,(718) 842-6880,Yes,Hours may be extended during a heat emergency.,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,1011394.00016,242563.00016,Senior center,
205,CC028,Neighborhood SHOPP Innovative Senior Center,910 E 172 St,Bronx,10460,(718) 542-0222,Yes,No,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,1014629.99992,243112.000046,Senior center,
206,CC518,Monterey/Twin Parks,2100 Monterey Av,Bronx,10457,(718) 367-6689,No,Hours may be extended during a heat emergency.,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1014057.71868,249136.812912,Cornerstone Program,
207,CC026,Belmont Library,610 E 186 St,Bronx,10458,(718) 933-6410,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1015256.0,250553.0,Library,
208,CC314,Thomas Guess NSC,2070 Clinton Av,Bronx,10457,(718) 584-2357,Yes,No,OPEN,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,,,1015279.40414,247922.72238,Senior center,
209,CC312,Mt Carmel Center NSC,2405 Southern Blvd,Bronx,10458,(718) 733-8852,Yes,No,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,1016911.4468,250359.374659,Senior center,
210,CC400,West Farms Library,2085 Honeywell Av,Bronx,10460,(718) 367-5376,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1016585.0,247038.0,Library,
211,CC519,Bronxworks Morris ISC,80 E 181 St,Bronx,10453,(718) 933-6671,Yes,No,OPEN,8a-3p,8a-3p,8a-3p,8a-3p,8a-3p,8a-4p,,1010707.99989,250755.99985,Senior center,
212,CC309,Francis Martin Library,2150 University Av,Bronx,10453,(718) 295-5287,Yes,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,10a-5p,10a-5p,,1009344.0,251688.0,Library,
213,CC316,Van Cortlandt Library,3874 Sedgwick Av,Bronx,10463,(718) 543-5150,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1013583.08764,260913.631456,Library,
214,CC310,Jerome Park Library,118 Eames Pl,Bronx,10468,(718) 549-5200,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1011564.0,255894.0,Library,
215,CC521,Sister Annunciata Bethell NSC,243 E 204 St,Bronx,10458,(718) 365-3725,Yes,Hours may be extended during a heat emergency.,OPEN,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,,,1016228.00001,257877.000044,Senior center,
216,CC027,Mosholu Library,285 E 205 St,Bronx,10467,(718) 882-8239,Yes,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,10a-5p,10a-5p,,1017885.0,257854.0,Library,
217,CC222,Woodlawn Heights Library,4355 Katonah Av,Bronx,10470,(718) 519-9627,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1020742.0,267350.0,Library,
218,CC033,Soundview Library,660 Soundview Av,Bronx,10473,(718) 589-0880,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,10a-5p,,1022175.0,237601.0,Library,
220,CC334,Castle Hill Library,947 Castle Hill Av,Bronx,10473,(718) 824-3838,Yes,No,OPEN,10a-6p,10a-6p,11a-6p,10a-8p,10a-5p,10a-5p,,1025707.0,240470.0,Library,
221,CC350,Clason's Point Library,1215 Morrison Av,Bronx,10472,(718) 842-1235,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1018828.0,241686.0,Library,
222,CC333,Parkchester Library,1985 Westchester Av,Bronx,10462,(718) 829-7830,Yes,No,OPEN,10a-8p,10a-8p,10a-8p,10a-8p,10a-5p,10a-5p,1p-5p,1023431.0,243068.0,Library,
223,CC098,Westchester Square Library,2521 Glebe Av,Bronx,10461,(718) 863-0436,No,No,OPEN,11a-7p,10a-6p,11a-7p,10a-6p,10a-5p,10a-5p,,1026672.0,245749.0,Library,
225,CC326,Morris Park Library,985 Morris Park Av,Bronx,10462,(718) 931-0636,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1023812.11107,248259.000091,Library,
226,CC453,Rain Middletown NSC,3035 Middletown Rd,Bronx,10461,(718) 822-0486,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1031562.12157,247020.230419,Senior center,
227,CC106,Pelham Parkway-Van Nest Library,2147 Barnes Av,Bronx,10462,(718) 829-5864,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,10a-5p,,1021825.0,250756.0,Library,
228,CC457,Bronx House Weinberg NSC,990 Pelham Pkwy S,Bronx,10461,(718) 792-1800,Yes,No,OPEN,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,,,1022807.99997,251368.999936,Senior center,"6 fl, pass security for directions"
229,CC324,Allerton Library,2740 Barnes Av,Bronx,10467,(718) 881-4240,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,10a-5p,,1022086.0,255112.0,Library,
231,CC243,Rain Boston East NSC,3450 Boston Rd ,Bronx,10469,(718) 654-9200,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1026174.00013,258512.000086,Senior center,Program on Second Floor
232,CC103,Eastchester Library,1385 East Gun Hill Rd,Bronx,10469,(718) 653-3292,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1027067.0,256352.0,Library,
233,CC325,Wakefield Library,4100 Lowerre Pl,Bronx,10466,(718) 652-4663,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1023102.0,263958.0,Library,
235,CC207,Edenwald Library,1255 E 233 St,Bronx,10466,(718) 798-3355,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1028245.0,263152.0,Library,
236,CC456,Rain Nereid NSC,720 Nereid Av,Bronx,10466,(718) 994-0132,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1024678.8709,266469.29782,Senior center,
238,CC100,Pelham Bay Library,3060 Middletown Rd,Bronx,10461,(718) 792-6744,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,10a-5p,,1031846.0,246916.0,Library,
239,CC101,Throg's Neck Library,3025 Cross Bronx Exwy Ext,Bronx,10465,(718) 792-2612,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,10a-5p,,1034314.0,239132.0,Library,
240,CC323,JASA Throgs Neck NSC,2705 Schley Av,Bronx,10465,(718) 823-1771,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1031965.38061,238729.999952,Senior center,
241,CC104,City Island Library,320 City Island Av,Bronx,10464,(718) 885-1703,Yes,No,OPEN,11a-7p,11a-6p,11a-6p,11a-7p,10a-5p,10a-5p,,1043361.0,248183.0,Library,
242,CC404,Riverdale NSC,2600 Netherland Av,Bronx,10463,(718) 884-5900,Yes,Hours may be extended during a heat emergency.,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,1007819.00009,259427.999894,Senior center,
243,CC220,Riverdale Library,5540 Mosholu Av,Bronx,10471,(718) 549-1212,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,10a-5p,,1011148.0,268516.0,Library,
244,CC219,Spuyten Duyvil Library,650 W 235 St,Bronx,10463,(718) 796-1202,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,10a-5p,,1007855.0,262171.0,Library,
245,CC405,Riverdale Y NSC,5625 Arlington Av,Bronx,10471,(718) 548-8200,Yes,Hours may be extended during a heat emergency.,OPEN,8:30a-4p,8:30a-4p,8:30a-4p,8:30a-4p,8:30a-4p,,,1009669.0,269056.999993,Senior center,
246,CC221,Van Cortlandt NSC,3880 Sedgwick Ave,Bronx,10463,(718) 549-4700,Yes,No,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,1013635.66858,260826.87144,Senior center,"Front entrance, elevator to 2nd fl"
247,CC006,Ft Independence SC,3350 Bailey Av,Bronx,10463,(718) 884-7050,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,10a-5p,,1011819.08455,259814.148029,Cornerstone Program,
248,CC458,Rain Gunhill NSC,3377 White Plains Rd,Bronx,10467,(718) 881-5589,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1020925.71141,257995.903677,Senior center,
250,CC421,Melrose Mott Haven NSC,372 E 152 St,Bronx,10455,(718) 665-2280,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,1007016.72217,237417.920883,Senior center,
251,CC420,Mitchell Houses NSC,188 Lincoln Av,Bronx,10454,(718) 665-2168,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1004289.44974,234329.38769,Senior center,
252,CC422,PSS Andrew Jackson NSC,325 E 156 St,Bronx,10451,(718) 585-1640,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1007017.32125,238631.41091,Senior center,
253,CC029,Bronxworks E Roberts Moore NSC,515 Jackson Av,Bronx,10455,(718) 665-5559,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1009248.37913,235339.828911,Senior center,
254,CC604,St. Mary's Park,595 Trinity Avenue,Bronx,10455,(718) 618-7478,Yes,Hours may be extended during a heat emergency.,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1009213.98221,236292.925758,Cornerstone Program,
255,CC330,Neighborhood SHOPP Leon NSC,735 E 152 St,Bronx,10455,(718) 708-6897,Yes,No,OPEN,8a-4:30p,8a-4:30p,8a-4:30p,8a-4:30p,8a-4:30p,,,1009965.62047,236619.72891,Senior center,
256,CC236,Butler,1368 Webster Av,Bronx,10456,(718) 303-8997,Yes,Hours may be extended during a heat emergency.,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1009924.06042,243723.365323,Cornerstone Program,
257,CC096,William Hodson NSC,1320 Webster Av,Bronx,10456,(718) 538-1515,Yes,Hours may be extended during a heat emergency.,OPEN,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,,,1009672.80807,243155.222072,Senior center,
258,CC517,Sedgwick,1553 University Av,Bronx,10453,(718) 731-2600,Yes,Hours may be extended during a heat emergency.,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1005824.65996,247625.427893,Cornerstone Program,
259,CC605,Murphy Community Center,601 Crotona Park North,Bronx,10457,(718) 466-6724,Yes,Hours may be extended during a heat emergency.,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1013479.82211,246485.869611,Cornerstone Program,
260,CC234,Bronx Citadel Corps Comm Center,425 E 159 St,Bronx,10451,(718) 665-8472,No,Hours may be extended during a heat emergency.,OPEN,10a-4p,10a-4p,10a-4p,10a-4p,10a-4p,,,1008215.68695,239025.663916,Community center,
261,CC555,Soundview Senior Center,1674 Seward Avenue,Bronx,10473,(718) 328-1809,Yes,Hours may be extended during a heat emergency.,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,1020335.04691,237328.174015,Senior center,
262,CC607,Soundview Community Center,1680 Seward Ave.,Bronx,10473,(718) 378-6246,Yes,Hours may be extended during a heat emergency.,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1020556.66163,237367.89408,Cornerstone Program,
263,CC322,Kips Bay Castle Hill NSC,625 Castle Hill Av,Bronx,10473,(718) 319-9156,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1026171.01949,237835.392817,Senior center,
264,CC035,James Monroe NSC,1776 Story Av,Bronx,10473,(718) 893-3484,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1021550.64061,239165.258924,Senior center,
265,CC454,Bronx River NSC,1619 E 174 St,Bronx,10472,(718) 617-6334,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1018469.23765,243512.044522,Senior center,
266,CC608,Bronx River Community Center,1619 East 174th Street,Bronx,10472,(718) 589-0553,Yes,Hours may be extended during a heat emergency.,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1018470.1343,243511.400166,Cornerstone Program,
267,CC013,Pelham Parkway,785 Pelham Pkwy North,Bronx,10467,(718) 547-5929,Yes,Hours may be extended during a heat emergency.,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1021789.05856,252051.181073,Cornerstone Program,
268,CC241,Rain Boston Road NSC,2424 Boston Rd,Bronx,10467,(718) 547-8827,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1021228.51461,253247.725181,Senior center,
269,CC242,Sue Ginsburg NSC,975 Waring Av,Bronx,10469,(718) 881-1758,Yes,No,OPEN,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,,,1023183.08387,253184.078655,Senior center,
270,CC108,Rain Eastchester NSC,1246 Burke Av,Bronx,10469,(718) 882-8513,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1025341.24458,256578.68768,Senior center,
271,CC609,Eastchester Community Center,3016 Yates Ave.,Bronx,10469,(718) 231-7384,No,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,10a-5p,,1024632.78832,256307.482513,Cornerstone Program,
272,CC240,Gun Hill,745 Magenta St,Bronx,10467,(917) 573-7187,Yes,Hours may be extended during a heat emergency.,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1021487.82876,258238.473473,Cornerstone Program,
273,CC511,JASA Bay-Eden NSC,1220 E 229 St,Bronx,10466,(718) 882-3815,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1027663.68022,261595.762619,Senior center,
274,CC208,Boston Secor,3540 Bivona St,Bronx,10475,(718) 671-1040,Yes,Hours may be extended during a heat emergency.,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1030526.27298,261081.544713,Cornerstone Program,
275,CC398,Rain Boston Secor NSC,3540 Bivona St,Bronx,10475,(718) 671-8550,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1030531.97206,261058.967433,Senior center,
276,CC603,Betances,465 St. Ann's Ave,Bronx,10455,(718) 585-5040,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,10a-5p,,1007980.01782,235339.243282,Cornerstone Program,
277,CC637,Edenwald Community Center,1150 East 229th St.,Bronx,10466,(718) 652-0478,Yes,Hours may be extended during a heat emergency.,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1026977.25246,262070.564163,Cornerstone Program,
278,CC235,Highbridge Gardens,1155 University Av,Bronx,10452,(718) 992-7797,Yes,Hours may be extended during a heat emergency.,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1003984.76774,244602.531405,Cornerstone Program,
279,CC554,Highbridge Senior Center,1145 University Avenue,Bronx,10452,(718) 681-8251,Yes,Hours may be extended during a heat emergency.,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,1003917.38421,244673.5025,Senior center,
281,CC313,Mosholu Montefiore NSC,3450 Dekalb Av,Bronx,10467,(718) 798-6601,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1017224.57315,260453.051978,Senior center,
282,CC321,Rain Parkchester NSC,1380 Metropolitan Av,Bronx,10462,(718) 892-5520,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1022772.88193,243571.791777,Senior center,
284,CC099,Baychester Library,2049 Asch Loop North,Bronx,10475,(718) 379-6700,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-6p,10a-5p,,1031470.89869,256547.606691,Library,
285,CC105,Co-op City NSC,2049 Bartow Av,Bronx,10475,(718) 320-2066,Yes,Hours may be extended during a heat emergency.,OPEN,9a-2p,9a-4p,9a-4p,9a-4p,9a-4p,,,1031610.16019,256466.994005,Senior center,Entrance on Bartow Ave. (Riverbay Corporation awning/CCPD office)
286,CC455,Dreiser NSC,177 Dreiser Loop,Bronx,10475,(718) 320-1345,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1031597.66776,259132.82496,Senior center,"2nd floor, Room #7"
287,CC036,Northeast Bronx NSC,2968 Bruckner Blvd,Bronx,10465,(718) 892-6090,Yes,No,OPEN,9a-4p,9a-4p,9a-4p,9a-4p,9a-4p,,,1032337.99994,242987.999966,Senior center,
290,CC308,Sedgwick Library,1701 Dr M L King Jr Blvd,Bronx,10453,(718) 731-2074,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1007056.60475,248789.686583,Library,
291,CC107,Parkside NSC,644 Adee Av,Bronx,10467,(718) 881-7780,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1020464.94134,255978.228251,Senior center,
292,CC019,Parkside,2972 Bronx Park East,Bronx,10467,(718) 882-0787,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,10a-5p,,1020142.38925,255986.171238,Cornerstone Program,
297,CC561,Hunts Point Recreation Center,765 Manida St,Bronx,10474,(718) 860-5544,Yes,No,OPEN,9a-9:30p,9a-9:30p,9a-9:30p,9a-9:30p,9a-9:30p,9a-4:30p,,1014909.11485,236207.954799,Community center,
300,CC774,Betances NSC,607 Concord Av,Bronx,10455,718-292-4922 Ext. 1,Yes,No,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,1009725.0,236092.0,Senior center,
301,CC516,Bronx Tremont Corps Comm Center,2121 Washington Av,Bronx,10457,(718) 584-6250,Yes,Hours may be extended during a heat emergency.,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,1013165.0,249777.0,Community center,
302,CC025,Bronx Center Library,310 East Kingsbridge Rd,Bronx,10458,(718) 579-4244,Yes,No,OPEN,9a-9p,9a-9p,9a-9p,9a-9p,10a-8p,10a-8p,12p-6p,1013415.0,253710.0,Library,
304,CC545,Tolentine Zeiser Community Life Center,2345 University Av,Bronx,10468,(718) 933-3305,Yes,No,OPEN,8:30a-3:30p,8:30a-3:30p,8:30a-3:30p,8:30a-3:30p,8:30a-3:30p,,,1010335.2685,253423.573044,Senior center,
305,CC402,Kingsbridge Library,291 W 231 St,Bronx,10463,(718) 548-5656,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1009769.84271,260157.578795,Library,
306,CC602,Melrose Community Center,286 East 156th Street,Bronx,10451,(718) 665-1300,Yes,Hours may be extended during a heat emergency.,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1006300.18194,238621.155681,Cornerstone Program,Center is in the gym.
307,CC102,Justice Sonia Sotomayor (formerly Bronxdale),1000 Rosedale Av,Bronx,10472,(917) 243-7231,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,10a-5p,,1020952.11559,240055.873242,Cornerstone Program,
308,CC483,RAICES Times Plaza NSC,460 Atlantic Av,Brooklyn,11217,(718) 694-0895,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,988939.000124,189193.999943,Senior center,
309,CC134,CCNS St Charles NSC,55 Pierrepont St,Brooklyn,11201,(718) 855-0326,Yes,No,OPEN,9:30a-5:30p,9:30a-5:30p,9:30a-5:30p,9:30a-5:30p,9:30a-5:30p,,,985621.999869,192861.000155,Senior center,
